,Unnamed: 0,District,Mandal,Village,Latitude,Longitude,SoilType,pH,EC,OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn,Crop,ndvi,arvi,evi,gci,ndwi
72,72,Anantapur,Penukonda,Settipalli,14.12,77.64,Redsoil,8.35,0.09,0.22,8.34,68,1498,190,2.45,0.27,0.36,2.53,0.52,4.17,G.Nut,0.14995483288166214,-0.08644826093231346,0.18050345240036972,1.3145454545454545,-0.3965990126165661
73,73,Anantapur,Penukonda,Settipalli,14.12,77.64,Redsoil,8.4,0.15,0.44,11.41,206,2882,305,6.35,0.36,0.70,2.52,0.43,4.69,G.Nut,0.14995483288166214,-0.08644826093231346,0.18050345240036972,1.3145454545454545,-0.3965990126165661
74,74,Anantapur,Penukonda,Settipalli,14.12,77.64,Redsoil,8.56,0.14,0.46,11.54,122,3000,532,3.70,0.43,0.87,7.85,0.89,2.08,G.Nut,0.14995483288166214,-0.08644826093231346,0.18050345240036972,1.3145454545454545,-0.3965990126165661
75,75,Anantapur,Penukonda,Settipalli,14.12,77.64,Redsoil,8.5,0.14,0.22,3.56,67,2678,455,3.31,0.24,0.54,3.06,0.71,2.35,G.Nut,0.14995483288166214,-0.08644826093231346,0.18050345240036972,1.3145454545454545,-0.3965990126165661
76,76,Anantapur,Penukonda,Settipalli,14.09,77.69,Redsoil,6.0,0.08,0.19,4.73,80,657,84,5.66,0.26,0.20,13.15,0.92,14.97,Horsegram,0.1278149726110773,-0.0686055182699478,0.18703241895261846,0.845617529880478,-0.29716485824291217
77,77,Anantapur,Penukonda,Settipalli,14.08,77.69,Redsoil,7.88,0.2,0.24,2.33,54,2052,92,5.77,0.15,0.41,3.95,0.35,3.42,G.Nut,0.3123110151187905,0.09028571428571429,0.5350799289520426,1.6099656357388317,-0.44597810566396956
78,78,Anantapur,Penukonda,Settipalli,14.08,77.69,Mixed soil,6.6,0.2,0.39,2.56,66,1050,239,12.03,0.41,0.33,5.79,0.47,27.19,Horsegram,0.3123110151187905,0.09028571428571429,0.5350799289520426,1.6099656357388317,-0.44597810566396956
79,79,Anantapur,Penukonda,Settipalli,14.08,77.69,Redsoil,6.16,0.12,0.73,1.51,62,939,357,3.83,0.24,0.46,11.47,1.31,14.53,G.Nut,0.3123110151187905,0.09028571428571429,0.5350799289520426,1.6099656357388317,-0.44597810566396956
80,80,Anantapur,Penukonda,Settipalli,14.08,77.6,Redsoil,8.2,0.23,0.35,2.61,50,3486,144,5.46,0.23,0.45,1.73,0.84,4.94,G.Nut,0.09273182957393483,-0.05803757828810021,0.1772273162720679,0.46168582375478917,-0.18754863813229572
81,81,Anantapur,Penukonda,Settipalli,14.09,77.7,Redsoil,8.34,0.14,0.20,3.24,60,1528,96,2.01,0.27,0.25,2.34,0.54,2.3,G.Nut,0.2180209171359614,-0.020204670690107583,0.28835922536709935,1.6058519793459554,-0.445346062052506
82,82,Anantapur,Penukonda,Settipalli,14.08,77.6,Redsoil,6.02,0.05,0.15,1.28,27,727,157,3.11,0.14,0.24,6.65,0.31,16.95,G.Nut,0.09273182957393483,-0.05803757828810021,0.1772273162720679,0.46168582375478917,-0.18754863813229572
83,83,Anantapur,Penukonda,Settipalli,14.09,77.7,Redsoil,7.82,0.22,0.43,3.38,63,2322,161,5.58,0.31,0.53,2.27,1.09,9.11,Horsegram,0.2180209171359614,-0.020204670690107583,0.28835922536709935,1.6058519793459554,-0.445346062052506
84,84,Anantapur,Penukonda,Settipalli,14.09,77.7,Redsoil,8.37,0.14,0.16,2.14,44,1650,63,2.06,0.14,0.25,1.49,0.4,3.66,Horsegram,0.2180209171359614,-0.020204670690107583,0.28835922536709935,1.6058519793459554,-0.445346062052506
85,85,Anantapur,Penukonda,Settipalli,14.08,77.69,Mixed soil,8.62,0.19,0.13,2.0,65,3913,335,3.65,0.17,0.35,1.26,0.6,2.85,G.Nut,0.3123110151187905,0.09028571428571429,0.5350799289520426,1.6099656357388317,-0.44597810566396956
86,86,Anantapur,Penukonda,Settipalli,14.08,77.69,Redsoil,8.2,0.13,0.17,3.99,50,1382,104,2.32,0.18,0.29,2.09,0.46,2.67,Horsegram,0.3123110151187905,0.09028571428571429,0.5350799289520426,1.6099656357388317,-0.44597810566396956
87,87,Anantapur,Penukonda,Settipalli,14.09,77.69,Redsoil,8.28,0.15,0.11,1.36,23,2474,52,3.31,0.11,0.21,2.01,0.33,1.63,G.Nut,0.1278149726110773,-0.0686055182699478,0.18703241895261846,0.845617529880478,-0.29716485824291217
88,88,Anantapur,Penukonda,Settipalli,14.09,77.69,Sandy soil,8.04,0.23,0.45,1.39,55,3003,187,6.66,0.14,0.33,2.93,0.49,6.1,Horsegram,0.1278149726110773,-0.0686055182699478,0.18703241895261846,0.845617529880478,-0.29716485824291217
89,89,Anantapur,Penukonda,Settipalli,14.09,77.69,Redsoil,7.27,0.3,0.45,1.18,56,1911,164,9.04,0.2,0.26,6.6,0.8,16.86,G.Nut,0.1278149726110773,-0.0686055182699478,0.18703241895261846,0.845617529880478,-0.29716485824291217
